Category,Subcategory,Title ,Text,IsRestricted
History,Antebelluvian ,The Forces of the First War,"""There are books and scrolls detailing the mortal forces in the First War

Falstriss leading armies of mortals wielding great weapons - The Osilla Arms - crafted by her hands
Jaharas and his great fleet of ships
The clever mortal tactician Ohliphiant and the plans he concocted with Maween and Driselle

Most of the references to Arkviles forces are more generic, referring to Legions of Undead and Demon generals
One reference to the Demon generals mentions the Tridavar weapons:
The Hangman's Hand wielded by Zulgrush the unrelenting, who raised vast armies of undead
The Soul Cage wielded by Krazyth the mutilator, who created monstrous abyssal beasts
The Bone Maw wielded by Buulplox the soul eater, who defeated some of the mortals greatest heroes
For more info see Restricted""
",
History,Antebelluvian ,End of the First War,"""Despite the great heroism of the mortals led by Falstriss, the war seemed unwinnable
Every mortal that fell became a new undead soldier in the armies of Arkvile
The deities of the Sky Above had refused to intervene

So the Demigods sought a new path to victory
Driselle the Shadow Thief infiltrated the Star Vaults of Vektron and stole the secrets within
She took these to Maween the Scholar, who studied the secrets of the Stars
And crafted from them a new power, a power that mortals could wield

This was the dawn of Arcane magic
Maween created the Council of the Nine Mages to control this power
And Jaharas the Pirate Lord sailed a great fleet on the winds of the Elemental Storm they created
This overwhelming force was enough to destroy the Undead Legions and force the Demons back to the Underworld""",
History,Antebelluvian ,Creation of the Eight Heavens and the Nine Hells,"""After Arkviles forces were defeated in the First War, the gods knew that if she was left as the only keeper of mortal souls which had passed, she would eventually have enough to create a new army of the undead. Each of the gods and demigods created their own afterlife, and after death each mortal soul is judged and sent to the appropriate one. Only a mortal soul which has failed to please the 8 other gods would go to the underworld.
But given enough time even these souls would amount to an army. So the gods (or according to a minority of the documents here, just Vektron) created the nine hells and the infernal legions of the Devils. The devils would fight Arkviles demons for every soul that landed in the underworld in the unending Blood War. The gods knew that devils must be as evil and ferocious as the demons to fight them, and so gave them a weakness to star-metal (silver) so they could be defeated by mortals.
None of the books or documents in this section go into more details on the nine hells, other than to give various warnings of the dangers of Devil kind
For more info see Religion and Restricted""",
History,Postbelluvian,The Necromancer King,"""An epic of the rise of the Necromancer King, the first mortal to use Arcane magic to create undead, and his eventual defeat at the hands of the hero Leonhir
For more info see Religion""
",
History,Postbelluvian,Awakening of the Giants,"""'To defeat the Necromancer King, the great hero Leonhir needed a mighty weapon
He found the Lost Tomb of the Giants, where they had slumbered ever since the Deities of the Sky Above used them to create the World Below
Stealing through their ancient halls, he climbed the throne of the Storm Giant King
And stole his belt knife - in Leonhir's hands this was a mighty greatsword

Stealthily leaving the underground citadel, Leonhir noticed a still reflecting pool
And could not resist admiring his reflection as he swung his new sword
Great bolts of lightning fired from the blade, and thunder shook the cavern
Leonhir fled with his blade, but the Giants had been awoken'
Other scrolls here discuss the emerging giants, their battles with dragons and the leadership of the Storm Giants
For more info see Religion""",
History,Postbelluvian,Dragonkin,"""Some accounts of the creation of the Dragonborn, humanoid relatives of dragons, after the First War. The texts do not hold any insight into precisely how the Dragonborn came to be.
There are also some references to a group called the Drakewardens that were formed and the powers they shared by bonding with Purple and Platinum dragons
For more info see Nature (Supernatural)""",
History,Postbelluvian,The Goblin Uprising,"""Details on the Goblin Uprising that was defeated in Astrovia in 481 PB with the sundering of the goblin tribes""",
History,Postbelluvian,The Great Fire,"""Accounts of the damage of the Great Fire of 625 PB that spread throughout Astrovia and Khatany""",
History,Postbelluvian,Oridian Kingdom,"""Some details on the Dwarven kingdom of Oridian, including some Dwarvish letters sent asking for alliance with Starfall promising friendship and offering gifts. There are some notes about 'mechanical  beings' created by the Dwarves under King Oridian, but even among the sparse notes here there are contradictions - the writers seem unsure if the creations were built or born. There is mention of conflict between Moon Elves and Sun Elves, before some kind of disaster brought a sudden end to the great underground kingdom in 790 PB""",
History,Postbelluvian,The Great Lycanthrope War,"""Limited historical accounts of the conflict between the Druids of Inzanzinar and the alliance of Rhulac and Nythlora, and the sudden creation of the animal-hybrid humanoid soldiers and the curse of Lycanthropy by the druids. Most of the documents here concern screening ships coming into Astrovia to prevent the curse reaching these shores. There is little information on how the Druids achieved these feats""",
History,Postbelluvian,The Undhelian Empire,"""Historical accounts of the city states of Undhelia and the rise of the Undhelian Empire that has slowly subsumed them all""",
History,Postbelluvian,Follivars Rebellion,"""Exhaustive written accounts of King Folivar's Rebellion following Starfall's decision to create a guild of Wizardry""",
History,Timeline,Timeline,"""AB (Antebelluvian)

- Creation of the World Below, elves and dragons by Scriveen, Oqular and Vektron
|
- The Elvenfall - the elves lose their immortality
|
- The Gods of the World - Heonn, Falstriss and Arkvile, are created, and they in turn birth the races of halflings, treefolk, humans, dwarves, orcs and goblins
|
- Falstriss and Heonn have three children, the Demigods Maween, Driselle and Jaharas
|
- A star falls to earth and Starfall is founded
|
- Arkvile kidnaps Heonn and unleashes Demons and undead hordes upon the world
|
- Falstriss invents war, the First War begins
|
- Loss of Elediun Fields
|
- The Demigod's gambit - to steal secrets of the stars and create Arcane magic - defeats Arkviles forces
|
- The creation of the 8 heavens, the 9 hells and the new pact between mortals and deities
|

PB (Postbelluvian)

- Rise of the Necromancer King and Awakening of the Giants
|
- Birth of the Dragonborn
|
- Approx. 200 PB Formal truce between Giant and Dragonkind
|
- Approx. 300 PB - King Herox Highstar I, first of the Highstar line, crowned
|
- 416 PB - Recognition of Khatany as a country with the Khunbund border agreement
| 
- 477 PB - Last recorded visit of Great Dragons to Starfall tower
|
- 481 PB - Goblin Uprising
|
- 625 PB  - The Great Fire
|
- 790 PB - Fall of the Oridian Kingdom
|
- 842 - 881 PB - Great Lycanthrope War
|
- 868 PB - Undhelian Empire founded
|
- 901-911 PB - Maween's Consortium founded leading to Follivar's Rebellion  
|
- 954 PB Terax Highstar the Third crowned Astrologer King
|
- 960 -963 PB Kingdom of Nanargzund is invaded by the Undhelian empire, and is subsumed
|
- 965 PB Marriage between King Terax and Princess Joquelle Berengar of Unzar
|
- 979 PB Death of Queen Joquelle
|
- 982 PB Kingdom of Unzar becomes vassal state of Undhelian Empire
|
- 993 PB Marriage between King Terax and Lady Gweneth Constole
| 
- 998 PB - Current Date""
",
Law,Astrovian,Laws of Astrovia,"""Many dry texts on the laws of Astrovia""",
Law,Astrovian,The Dawn Crusade,"""Documents explaining the Dawn Crusades powers as a force distinct from the crown""",
Law,International,Treaties,"""Details on international treaties with Khatany, Nythlora, Unzar and Nanargzund (the latter two have notes explaining that the city states have become part of the Undhelian Empire since the treaties were signed). Notes have been recently appended to the Khatany documents detailing the marriage between Princess Peneolpe Highstar of Astrovia and Lord Irinius Steratat of Khatany""",
Magic,Divine,Domains of the Clerics,"""Details on the divine powers of Clerics, and the domains of the Gods they serve
Vektron: Order, Twilight
Oqular: Light, Knowledge
Scriveen: Nature, Grave
Heonn: Life, Peace
Falstriss: Forge, War
Maween: Arcane
Driselle: Trickery
Jaharas: Tempest",
Magic,Divine,The Power of Threes,"""Many texts referring to the power of threes (or triads) in magic. The gods come in three sets of three, so the number has power.
The number of material planes, the elemental planes, the kinds of giants etc are all divisible by three
Many examples are given of magic circles or diagrams that are powerful in threes but weak or unstable with non-triad numbers""",
Magic,Divine,Druidic Circles,"""Details on the six Druidic Circles and how Druids are organised and gain their powers from Scriveen. Most of the documents here are from secondary sources, researchers writing about Druids. Some of these texts seem to sensationalise the Wildshaping powers of Druids, such as mentions of a single Druid transforming into a swarm of rats, or a Unicorn

There is a dusty collection of journals written by a moon elf Druid named Faheelwild that mention intense dreams from Scriveen
'I saw a desolate landscape - I believe a vision of the First War itself. It is clear that Scriveen is warning me'
The journals chronicle many travels across the land to preserve the natural order, but devolve into incoherent ramblings about a ""great secret"" before ending""",
Magic,Divine,Oaths of the Paladins,"""Many documents and books about the Paladins of the Dawn Crusaders and their Oaths to Oqular. Also some scattered references to Paladins who swear their Oaths to other Gods, or even accounts of Paladins gaining Divine power when swearing Oaths to personal ideals""",
Magic,Divine,Destroying Undead,"""A vareity of texts on using Divine Magic to destroy Undead such as
Vanquishing the Unholy by High Priest Bartholomew Dourlull
Exorcism for Beginners by H. Buttons""",
Magic,Divine,Giant Runes,"""A small selection of stone tablets with Giant runes carved into them, and some Dwarvish scrolls discussing the magical potential of these runes""",
Magic,Planar,Elemental Planes,"""Information on the elemental planes, of which twelve exist 
Fire
Water
Air
Earth
Steam (between Fire and Water)
Smoke (between Fire and Air)
Magma (between Fire and Earth)
Ice (between Water and Air)
Mud (between Water and Earth)
Dust (between Air and Earth)
Maelstrom
Tranquility""",
Magic,Planar,Material Planes,"""Texts on the material planes, most notably a book called Far Traveller by an unknown author that claims to have travelled all three

'The prime material plane is where you most likely stand now dear reader - a world of elves, humans, dwarves and halflings
But there are two more material planes, all three overlapping reflections of each other
The Feywild, with its wild forests and dazzling cities, home to wild Winter Court and the refined Summer Court of the Fae
And the Shadowfell, a dark twisted landscape of monstrous nightmare creatures'
The book features many supposed accounts of journeys to the other two realms, and ends with a startling conclusion
'The two most impactful events in history were the Elvenfall and the First War. I believe these events created the other two planes
The Feywild is our world if the Elvenfall never happened - the Summer and Winter Courts are the immortal Sun and Moon elves
And the Shadowfell? It is our world if mortals had lost the First War - a desolate, blasted landscape of demons and undeath'""",
Magic,Arcane,Dangers of Arcana,"""Many texts detailing the dangers of Arcane magic such as
Signs of Sorcery by Houston Whitt
Warlocks - a compendium of Evil
School of Necromancy by S. Keel
as well as a collection of diaries and eyewitness accounts detailing dangerous Arcane power""",
Magic,Arcane,Maween's Consortium,"""Some short, modern texts detailing the founding of Maween's Consortium and the rules applying to the wizards guild""",
Nature,Fauna,Animal Taxonomies,"""Various taxonomies of beasts, birds and fish of Astrovia, and some more sporadic accounts of the rest of the world""",
Nature,Fauna,Humanoid Taxonomies,"""Detailed listings of the many kinds of humanoids, those created by the gods:
Moon and Sun Elves, Humans, Dwarves, Halflings, Treefolk, Orcs and Goblinoids
As well as some scattered notes on those created since the First War
Dragonborn, Gnomes, Tieflings, Genasi, Gnolls
And the new animal-humanoid hybrid races created by the Inzanzinar Druids during the Great Lycanthrope War""
",
Nature,Fauna,Medical texts,"""A well stocked selection of medical texts, autopsy reports, accounts of illnesses and their treatments, the affects of divine healing. Mostly focused on human anatomy but examples for elves, dwarves, halflings, treefolk etc can be found""",
Nature,Fauna,Arachnid display,"""Glass cases house many preserved spider webs and the remains of large spiders""",
Nature,Flora,Taxonomies,"""Botanical taxonomies, as well as detailed reports on farm crops""",
Nature,Flora,Walking Plants,"""Accounts of sentient plants and plant monsters, including some notes on those created by the Druids of Inzanzinar during the Great Lycanthrope War""",
Nature,Supernatural,Monstrous footsteps,"""A large, foreboding tome detailing supernatural monstrosities. Most of the text focuses on the dangers posed by these creatures, though there is some confusing technical detail noting the difference between Monstrosities that arose from the will of the Gods and 'abominations' created by Arcane magic such as the Owlbear""",
Nature,Supernatural,Draconomicon,"""A comprehensive guide to Dragons and Wyverns - many notes on the 5 kinds of chromatic dragons (red, green, blue, black, white) and the 5 kinds of metallic (gold, silver, bronze, copper, brass)""",
Nature,Metallurgy,"Metals, gems and minerals","""Various books containing details of minerals and their uses. Of note is the relations of the Deities to various metals:

Vektron - Silver
Oqular - Gold
Scriveen - Cold Iron
Falstriss - Bronze
Heonn - Ironwood
Arkvile - Obsidian
Maween - Copper
Jaharas - Electrum
Driselle - Mercury""",
Religion,Vektron,Vektron's Designs,"""Religous texts detailing the elegance of Vektron's designs and comparing an ideal life on the World Below matching the motions of the stars""",
Religion,Vektron,Future sight by The Sky Seer,"""A definitive guidance on horoscopes, tarot, palm reading and other methods of divining the future""",
Religion,Vektron,Horoscopes,"""Vast stacks of horoscope predictions""",
Religion,Vektron,Star charts,"""Weighty tomes in a side room with an Astrolabe, filled with star measurements and notes on constellations""",
Religion,Vektron,Ordinances,"""Tome with a hand grasping the constellations on the cover. Many detailed and complex rules for society. There is a focus on nobilities responsibilites and duties, complex marriage rules and inheritance""",
Religion,Oqular,All seeing Sun,"""Tome with a single eye within the sun on the cover. An exhaustively detailed tome on the tenets of truth and justice important to a follower of Oqular""",
Religion,Oqular,Justiciar,"""The accounts of many criminal cases and the precedents Judges set in their rulings""",
Religion,Scriveen,Lunar cycle worship,"""Some short, dry texts on the lunar cycles and the proper times to observe Scriveen""",
Religion,Scriveen,Tenets of Scriveen,"""Tome with a wolf howling at the moon on the cover. A comparatively short book, detailing in straightforward terms the importance of preserving the natural order, with an emphasis on destroying the undead and other perversions""",
Religion,Falstriss,Prayer through creation,"""Some religous pamphlets on the importance of creation and crafting, this section is overwhelmed with technical manuals and information on blacksmithing, woodworking, artificing, mining and military theory

See also Nature (Metallurgy)""",
Religion,Falstriss,Invention and War,"""Tome with a woman wielding a blacksmith's hammer in one hand and a sword in the other on the cover. A book split into two sections. The first, Invention, focuses on the importance of creating new things, societal progress and improving life by leaving something new behind. The second, War, is focused on venerating soldiers, the importance of self defence and the ability to win glory through combat""",
Religion,Heonn,Family rituals,"""Comprehensive accounts of marriage, baptism, funeral and harvest ceremonies""",
Religion,Heonn,A Guide to Community,"""Tome with a halfling farmer in a straw hat on the cover. A series of parables and fables, mostly with themes revolving around family, kindness and charity. A preface suggests reading one at a village gathering each week.

The Parable of the Messenger:
On each bank of the river Khar
Two families had feuded for generations
Their only contact - a humble ferry messenger
Every day the messenger would  carry messages of spite
And every day would encourage the families to meet
But they would always refuse
One day, there was a great storm
But the ferry ran as always - there were messages to deliver
The boat was no match for the winds
The ferryman would have been lost
Had not both families come together, risking all to rescue him
And as they huddled round a fire, warming their messenger
They broke bread and made peace for the first
But not the last, time""",
Religion,Maween,Scholarly articles,"""Vast stacks of scrolls and scholarly articles on a wide range of subjects, incuding many focused on mathematics and alchemy""",
Religion,Maween,Divinitae Academia,"""Rules for scholarship, research and debate""",
Religion,Driselle,Collection of artists works,"""This section is mostly filled with a poorly organised collection of poems, plays and stories. There is also a large tome focused on tales of the hero Leonhir, which notes that the hero is generally considered to be Driselle's son, but many believe him to be Driselle herself in the form of a man""",
Religion,Driselle,Laws of the Lawless,"""Rather than any rules for how to live as a worshipper of Driselle, this book is filled with examples of those who did not fit into Astrovian society - the first marriages between different races, the first marriages between same gender couples, those who lived as a gender different to their birth, nobles who gave up their position for love and various controversial artists such as the playwright Fior Botswon""",
Religion,Jaharas,Collection donated by adventurers,"""This section contains few written books or scrolls, but is instead an assortment of donated treasures and mementos of a variety of adventure seekers. Stuffed heads of manticores and other monstrosities are hung from the wall, and cases show a variety of relics with notes of the adventurers who recovered them""",
Religion,Other,The Lady of Scales,"""A short book with some accounts of those who have had near death or post resurrection experiences and seen the Lady of Scales.
After death, each mortal soul is judged and sent to the appropriate destination - one of the eight heavens of the Deity they have most pleased, or if they have aligned with none then their soul is lost to the Scargrounds of the Underworld, where the Demonic forces of the Abyss and the Devilish forces of the nine hells battle to capture them.

According to some legends, the judgement is done by the Lady of Scales, a woman with four pairs of arms, holding eight sets of scales, each of which weighs a soul's allegiance to a different Deity. She is often depicted with long white hair draped over her face.""",
Religion,Other,Starfall,"""Details on the Religious organisation of Starfall. 
The Astrologer King is the sovereign of the city and the country of Astrovia, answering only to Vektron the Stars. His retinue of Astrologer clerics and Astronomers also wield significant religious and political power.
The Temples of Starfall fall under their purview (including the Temple to the Sky Deities). The Dawn Crusaders are a technically independent religious organisation who answer to Oqular, with a complex set of rules explaining how they interact with the Royalty and the Temples""",
Geography,Astrovia,Starfall,"""Details of the city of Starfall and its system of canals""",
Geography,Astrovia,Maps of Astrovia,"""A variety of maps of Astrovia""",
Geography,Eastern Continent,Undhelia,"""Collected notes and some incomplete maps of the city states of Undhelia to the West of Astrovia, most pre dating the Undhelian Empire""",
Geography,Eastern Continent,Khatany,"""Details on the pastoral country of Khatany to the South of Astrovia""",
Geography,World,Nythlora,"""Sketches and notes on the Sun Elf cities of Nythlora to the North of Astrovia""",
Geography,World,Rhulac,"""Some scant details on the land of Rhulac on the Eastern continent""",
Geography,World,Inzanzinar,"""Some scant details on the jungle kingdom of Inzanzinar on the Eastern continent""",
Genealogy,,Nobles of Khatany,"""Family trees and histories of the nobility of Khatany. A recent addition notes the marriage between Princess Penelope Highstar to Lord Irinus Steratar. The Steratar family is one of the oldest and most influential in Khatany, with a branch of the family also having significant roots in Astrovia""",
Genealogy,,Nobles of Astrovia,"""Family trees and histories of the nobility of Astrovia. The Royal Highstar family lineage takes pride of place among gilded tomes. Most recently, King Terax Highstar the third has had 6 children (including the youngest, Princess Penelope) from his fist marriage to Queen Marian (nee Berengar of Unzar), but so far none from his second to Queen Fatima (nee Vostell). There are many other noble families detailed here, such as the Haldebrants, Constoles, Vostells, Ponstoles, Adavan (a recent note that this family line has ended), as well as some notes on foreign families with connections to Astrovia such as the Steratars""",
Philosophy,,Philosophy Lectures,"""A collection of scrolls detailing many famous speakers debates and lectures""",
Philosophy,,The Grand Design by Parthinomous,"""A famous text discussing how free will is impacted by Vektron's future sight""",
Restricted,Scrolls,Divine Scrolls,"""A vast stack of Divine Spell Scrolls. The following scrolls can be found here:
Bless x 3
Ceremony x 5
Create or Destroy Water x 2
Cure Wounds x 3
Detect Evil and Good
Detect Magic x 2
Detect Poison and Disease x 4
Purify Food and Drink x 3
Sanctuary x 2
Augury
Continual Flame
Gentle Repose x 2
Lesser Restoration
Locate Object
Zone of Truth
Clairvoyance
Magic Circle
Speak with Dead
Tongues
Divination
Locate Creature""",Yes
Restricted,Scrolls,Locked Box,"""A locked silver chest, that looks like a single scroll could fit inside""",Yes
Restricted,Starfall,Record of Summits,"""A list of dates and attendees, with no other information
105 PB - Aravastor, Bywindel-vas of Nythlora, Kominay of Inzanzinar, Brundil envoy of the Storm King, Lord Mulisiphor, Aquis of the Courts
220 PB - Aravastor, Bywindel-vas of Nythlora, Kominay of Inzanzinar, Thofur envoy of the Storm King, Lord Mulisiphor, Aquis of the Courts
477 PB - Aravastor, Methalwinday of Nythlora, Critirion of Inzanzinar, Thofur envoy of the Storm King, Lord Mulisiphor, Aquis of the Courts
623 PB - Aravastor, Methalwinday of Nythlora, Grodulay envoy of the Storm King, Lord Hyveranox, Aquis of the Courts w/ guest
781 PB - Aravastor, Drothilusia of Nythlora, Gert envoy of the Storm King, Lord Mulisiphor, Sir Vosted C.o.V
856 PB - Aravastor, Mundara envoy of the Storm King, Lord Mulisiphor, Sir Dramel C.o.V, Aquis of the Courts""",Yes
Restricted,Starfall,The Royal Treasury,"""Documents relating to the Royal Bank and Treasury of Astrovia including blueprints""",Yes
Restricted,Starfall,The Royal Astronomy Tower,"""Details of the tower. Long descriptions of it's many floors, ballrooms, the observatory and telescopes on the upper floors. Exhaustive details on the kitchens, the furnishing's of the many bedrooms, the baths.

There are also details of the vault below the tower. The vault door is a massive structure made of mithril and silver and gold and cold iron, blessed with divine magic. The vault has 3 wings, with valuable treasures and powerful magical relics housed within, though the exact contents are not listed here. There are notes about how the Adavan family is reponsible for maintaining the vault, and various historical notes of different members of the family stretching back generations. The most recent note reads: 
After the tragic loss of the Adavan bloodline, we await the King's choice for a successor to manage the vaults. Currently the King is the sole possessor of the knowledge of how to reach the secret second vault below the first, and how to navigate the labyrinth down from the second to the third vault. This knowledge must not be lost, continue to press the King to appoint new Vault Caretakers""",Yes
Restricted,Occult,A journey through the Nine Hells by Abernath Vanquess,"""This ancient book, bound in a strange leather, claims to be an account of a mortal that somehow travelled the nine hells and returned to tell the tale. The book makes it explicit that Vektron created the Devils and the Hells, and goes into detail about their complex and byzantine political structure, as well as their many organised but depraved tortures of each other and the mortal souls in their grasp. Abernath is treated as a guest of the Archdevils in command of each layer of the hells, though why he is granted this privilege is never explained. The book ends with a sobering reflection that, if it were not for their distraction by the  endless Blood War with the Demons of the Abyss, the Devils would be a terrible force as they schemed to take all the souls of the mortal world. There are various notes in the book written in a strange script.

The infernal hierarchy is complex and difficult to parse. The lemures and imps are the lowest, and the Archdevil Lords such as Hyveranox the greatest, but in between there is an almost incomprehensible web of ranks. Devils can be promoted to greater power by obtaining more souls or demoted as punishment. Devilkind, as a direct creation of Vektron, is unable to utter falsehoods or break any promises. Any deals with them are ironclad, but will also be filled with complicated small print and side clauses attempting to trip up mortals

9 layers of the Hells:
Avernus
Dis
Minauros
Phlegethos
Stygia
Malbolge
Maladomini
Cania
Nessus""",Yes
Restricted,Occult,"Death cults, a history by Redacted","""A history of the many attempts to worship Arkvile since the First War. From small orc and goblin cults to larger conspiracies within civilization. The history notes many uses of Arcane necromancy by the cults, but no examples of any Divine power from Arkvile's followers. Notes on attempts to stamp out the cults and execute all members, and some mentions of the author (name unknown) going undercover in a modern death cult, and receiving a bird skull tattoo""",Yes
Restricted,Occult,Demonology,"""A dark black tome. An attempted taxonomy of Demonkind, from tiny Quasits to terrible Balors, though the authors note that the Demon hordes of the Abyss are so chaotic and ever changing as to be difficult to classify. The only constant among the terrifying fiends described within is their mad destructive instinct and desire to burn and destroy mortals. There are some notes on the Demon forces of the First War, including more detailed descriptions of the Demon generals and their Tridavar weapons:

- Weapon of Zulgrush the unrelenting: The Hangman's Hand (true name unknown) is described as a long staff with a skeletal, many fingered hand at it's end. It helped raise vast numbers of Undead. The demons were genetally chaotic in their battle strategy, willing to sacrifice large numbers of their own troops. It was Zulgrush who allowed for this strategy by creating new armies

- Weapon of Krazyth the mutilator: The Soul Cage (true name unknown) is described as a suit of white armour. It helped its wearer create strange Undead abominations from the souls of mortals. It was these creatures that were able to stand toe to toe with Dragons and Demigods fighting for Falstriss.

- Weapon of Buulplox the soul eater: The Bone Maw (true name unknown) is described as a great scythe. It's abilites are unclear, though it's wielder was a fearsome fighter.

The section raises several questions the authors could not answer:
Falstriss is the Goddess of Invention. Yet it seems wielders of her creations, the Osilla Arms, were often defeated in combat by wielders of the Tridavar. How was Arkvile able to craft weapons more powerful than the Goddess of crafting?
The records only ever mention Demons wielding the Tridavar - did Arkvile ever march into battle with weapons of her own?
Finally, there are legends that the Tridavar brought together would have unmatched power - so why do the records and legends of the First War never mention the Demon's doing so? Were they simply too chaotic to cooperate?""",Yes
Restricted,Occult,Spellbooks,"""A small collection of wizards spell books. Some of the covers are blood stained""",Yes
Restricted,Occult,Lords of Madness: The Aberrations,"""A collection of papers clumsily bound together. Scrawled notes on 'Mindflayers', 'Beholders' and 'Aboleths'. Devolves into incoherent ramblings about the 'psionic' powers of these Aberrations.""",Yes
Restricted,Occult,Roster of the Drakewardens,"""An ancient but expensive looking book, with some remnants of gold leaf stuck to a cover which seems to be made of scales stitched together. Seems to be a list of names and dates, with some notes written in Draconic script. The dates stop at 477 PB, though there is more space in the book""",Yes
Restricted,Occult,False Gods,"""Historical notes from a variey of sources on various cults or religions that didn't observe the 8 deities
The Kraken Cults
The Goblin Gods
Arhurngar the Deathwalker
The Ninth Day Doomsayers
Phorastrium
The Earthbound
Most of the notes detail how the groups were hunted down and wiped out""",Yes
Restricted,Occult,Stack of letters,"""A dusty folio containing ancient cracked parchment sheets. Each sheet appears to be a letter addressed to 'His Highness' but is written in a strange language. Each letter is signed in the common tongue though, with 'Children of the Void' and a drawing of three triangles touching at the points""",Yes
Restricted,A Small Cabinet,A single piece of parchment,"""A list on ancient parchment
Siluvians - 221 PB 
Drakewardens - 477 PB 
Phoenix - 625 PB 
Oridian Dwarves - 790 PB 
Blood Rose - 856 PB 
There is a drawing of a spider on the page""",Yes
